"","...1","x1","ungulate_latin_name","avg_species_weight_kg","avg_species_shoulder_height_cm","ruminant_non_ruminant","researcher","ungulate_family","ungulate_common_name","binned_season","year_started","year_ended","plant_reported_family","plant_reported_name","percent_contribution_to_diet","data_type","binned_units","binned_method","total_sample_size","binned_total_sample_size_units","latitude_1","longitude_1","latitude_2","longitude_2","reported_study_site_location","country","biome","citation_abrv","latitude_1_decimal","longitude_1_decimal","latitude_2_decimal","longitude_2_decimal","latitude_average","longitude_average","point_type"
"17",5437,5437,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"D. longispina",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"18",5438,5438,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"D. zeyheri",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"19",5439,5439,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Dactyloctenium australe",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"20",5440,5440,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Apodytes dimidiata",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"21",5441,5441,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Barringtonia racemosa",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"22",5442,5442,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Acacia sp.",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"23",5443,5443,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"A. robusta",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"24",5444,5444,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Albizia adiantifolia",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"25",5445,5445,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Bauhinia galpinii",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"26",5446,5446,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Dichrostachys cinerea",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
